,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
835,Single Variable Calculus,University of Pennsylvania,COURSE,4.7,184 reviews,Mixed,24k,https://www.coursera.org/learn/discrete-calculus,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/05/cda840977511e5aa161903ab17f92e/CSV-logo-chapter-5-copy.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Robert Ghrist,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Calculus ,Calculus 
836,Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,215 reviews,Intermediate,9.1k,https://www.coursera.org/specializations/secure-coding-practices,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/e0985f80914ed38231b2f7b73d12ee/GettyImages-748343933-Spec.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.3stars,124 ratings,"Matthew Bishop, PhD, Sandra Escandor-O'Keefe, Joubin Jabbari","2,896","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Cybersecurity, Java, secure programming, C/C++, Cryptography, Authentication Methods, Identifying vulernabilities, C/C++ Programming, Java Programming, security",C;C ;C# ;C++ ;Coding;Cybersecurity;Java,C;Computer Science;Physical Science and Engineering
837,SAS Advanced Programmer,SAS,PROFESSIONAL CERTIFICATE,4.9,8 reviews,Intermediate,,https://www.coursera.org/professional-certificates/sas-advanced-programmer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ec/d76917208946ada42bad271d7e3488/124673-iconImage-Coursera-AdvProg-midnight.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Grow Your Career with a SAS® Credential. Master the skills required for the SAS® Advanced Programming Professional certification.,4.9stars,7 ratings,"Peter Styliadis, Stacey SyphusTop Instructor, Michele Ensor",,"Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,,SAS Programming,SAS Programming
838,Write Your First Novel,Michigan State University,COURSE,4.3,24 reviews,Beginner,24k,https://www.coursera.org/learn/write-your-first-novel,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/27/5a9c9e53864ab7a916aebcaa46dbab/David.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.3stars,,David Wheeler,,"Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English, Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English",English,"Creative Writing, Novel Writing, Story Telling",Writing,Writing;Computer Science;Personal Development
839,Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.6,601 reviews,Mixed,35k,https://www.coursera.org/learn/systems-thinking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/21/efb5d0b64311e5b7f4377491ebab0b/SystemsThinkingIconSquare.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"David Bishai, MD, PhD, Ligia Paina, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Health,Health;Personal Development
840,Chinese for HSK 1,Peking University,COURSE,4.9,1108 reviews,Beginner,36k,https://www.coursera.org/learn/hsk-1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/cc/32a4d06f1b11e68bb99f8903e68a54/chinese-for-HSK1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,YU Bin,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,,Chinese ,Chinese 
841,Resilient Teaching Through Times of Crisis and Change,University of Michigan,COURSE,,,Intermediate,,https://www.coursera.org/learn/resilient-teaching-through-times-of-crisis,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b8/6c2b222e354a1ba1d2acd334dc6ac7/teachingcc_thumbnail_coursera-01.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,,,"Rebecca Quintana, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
842,Electric Power Systems,The State University of New York,COURSE,4.7,4571 reviews,Beginner,54k,https://www.coursera.org/learn/electric-power-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6f/7cd170d81611e6af894b99234a469c/C2-block.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Ilya Grinberg,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,,,
843,Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,1925 reviews,Mixed,37k,https://www.coursera.org/learn/wharton-risk-models,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1a/43c710b00611e5a9812b2f90fd1fc6/Wharton_online_risk_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Sergei Savin, Senthil Veeraraghavan",,"Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English",English,"Modeling, Risk, Microsoft Excel, Simulation",Excel;Microsoft,Excel;Business;Computer Science
844,Introduction to Molecular Spectroscopy,University of Manchester   ,COURSE,4.7,1148 reviews,Intermediate,23k,https://www.coursera.org/learn/spectroscopy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/11/b1dc90cc3911e692fa996561b653d7/spectroscopy_pinkfloyd_albumcover.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Patrick J O'Malley, D.Sc",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
845,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,3216 reviews,Mixed,76k,https://www.coursera.org/learn/everyday-leadership-foundation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/af/b23aab703b4dafa3056a7723b37c22/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Jeffrey Loewenstein, Denise Lewin Loyd, Elizabeth A. Luckman",,"Shareable Certificate, 100% online, Course 1 of 7 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 7 in the, Flexible deadlines, English",English,"Group Decision-Making, Managing motivation, Individual decision-making, Communication In Small Groups, Leadership",Communication;Leadership,Communication;Business
846,Getting Started with Go,"University of California, Irvine",COURSE,4.6,1081 reviews,Intermediate,21k,https://www.coursera.org/learn/golang-getting-started,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f6/9da1d0ba8211e78191fdf17a4d6aa3/GOrdonGOpher_Golang_C1.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Ian Harris,,"Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English",English,,Go,Go
847,Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,381 reviews,Beginner,25k,https://www.coursera.org/learn/introduction-to-computer-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7c/6f5940c7aa11e8bf0b57f9072e48db/Update.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.3stars,,"Dr Edward Anstead, Dr Simon Katan",,"Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English",English,,,
848,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,1760 reviews,Beginner,47k,https://www.coursera.org/learn/iiot-google-cloud-platform,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1e/e078a0f41811e8a8fbd7083fc45dec/iiot-on-gcp-blue-logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Google Cloud Training,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Bigquery, Internet Of Things (IOT), Cloud Computing, Communications Protocol",Cloud Computing;Google;Internet of Things,Cloud Computing;Marketing;Physical Science and Engineering
849,Accounting Analytics,University of Pennsylvania,COURSE,4.5,2510 reviews,Mixed,83k,https://www.coursera.org/learn/accounting-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/82/f043f04cd411e5aad6dd6dd2e8b945/coursera_accounting_analytics_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,"Brian J Bushee, Christopher D. Ittner",,"Shareable Certificate, 100% online, Course 4 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 4 of 5 in the, Flexible deadlines, English",English,"Accounting, Analytics, Earnings Management, Finance",Accounting;Finance;Management,Accounting;Business
850,Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,1114 reviews,Beginner,84k,https://www.coursera.org/learn/magic-middle-ages,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/47/a56340ea0711e5b1e5ff9cd55427b8/logo_sin_letras_1063x500.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Godefroid de Callataÿ - University of Louvain, Dr Pau Castell Granados, Sébastien Moureau - University of Louvain, Dr Gemma Pellissa Prades, Delfi I. Nieto-Isabel, Blanca Villuendas",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Middle East, Astronomy, History, Anthropology",Anthropology;Astronomy;History ,Anthropology;Physical Science and Engineering
851,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,222 reviews,Beginner,13k,https://www.coursera.org/learn/innovation-through-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2c/fdebb0728711e8a431b1fb8caaf072/MOOC-Logo.fw.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Martin Tomitsch, Cara Wrigley",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Design;Innovation,Design;Computer Science;Personal Development
852,Stochastic processes,National Research University Higher School of Economics,COURSE,4.5,280 reviews,Intermediate,27k,https://www.coursera.org/learn/stochasticprocesses,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b2/631220319711e88e0c5b920528184a/Logo-Stochastic-processes-_NEW_.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Vladimir Panov,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
853,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,453 reviews,Intermediate,15k,https://www.coursera.org/learn/introduction-trading-machine-learning-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/20/8cdc77595a4e22a2a970a9b26c87bc/AI_for_Finance_C1_Intro_to_Trading_Machine-Learning_GCP_Coursera_Logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.0stars,,"Jack Farmer, Ram Seshadri",,"Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, Intermediate Level, English, Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, Intermediate Level, English",English,"Finance, Trading, Investment, Machine Learning applied to Finance",Finance;Investment;Machine Learning;Trading,Finance;Data Science;Math and Logic
854,Getting Started with Essay Writing,"University of California, Irvine",COURSE,4.7,2187 reviews,Mixed,140k,https://www.coursera.org/learn/getting-started-with-essay-writing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/92/61ab00265811e59638cb20cb5a23c8/basic-writing.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Tamy Chapman, Helen Nam",,"Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English",English,,Writing,Writing;Computer Science;Personal Development
855,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,1193 reviews,Intermediate,34k,https://www.coursera.org/learn/antimicrobial-resistance,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d6/37939099f211e5abd6d1f360ee083f/Picture1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Lina Cavaco, Pimlapas Leekitcharoenphon, Rene S. Hendriksen",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Drug Resistance, Antimicrobial, Genome, Microbiology",,
856,Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.5,125 reviews,Intermediate,12k,https://www.coursera.org/learn/teachlanguageonline,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e8/62a28b5be045539192d20970b512e8/1200-x-1200-photo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,"Emilia GraciaTop Instructor, Dr. Katharine Nielson",,"Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English, Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English",English,,English;Language,English
857,Strategic Management,Copenhagen Business School,COURSE,4.7,3076 reviews,Mixed,64k,https://www.coursera.org/learn/strategic-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7b/14e650668c11e5929a370796729205/Skakbrik-2-varianter_Side_2.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Robert Austin,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,"Strategic Management, Strategic Thinking, Strategic Planning, Business Strategy",Business;Business Management;Management;Strategic Management;Strategy,Business;Business
858,Introduction to Structured Query Language (SQL),University of Michigan,COURSE,4.8,2717 reviews,Intermediate,73k,https://www.coursera.org/learn/intro-sql,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/44/aacce094c211e79257af44295fda12/WA4E_thumbnail_SQL_1x1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Charles Russell SeveranceTop Instructor,,"Shareable Certificate, 100% online, Course 2 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 4 in the, Flexible deadlines, English",English,"Phpmyadmin, MySQL, Relational Database, SQL",Database;Language;MySQL ;SQL;SQL ,Database;Language and Communication;Personal Development;Data Science
859,Social Media Data Analytics,University of Washington,COURSE,4.1,210 reviews,Intermediate,25k,https://www.coursera.org/learn/social-media-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/83/8b7dd07c2511e697898d8064076b75/smda.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.1stars,,Chirag Shah,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Python Programming, Statistical Analysis, Sentiment Analysis, R Programming",Data Analysis;Python;R,Data Analysis;Computer Science;Math and Logic
860,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,1155 reviews,Beginner,71k,https://www.coursera.org/specializations/business-entrepreneurship,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/UMD%20Entrepreneurship%20s12n/EntrepreneurshipSpecialization600x600.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Identify, Analyze, and Launch Your Startup. Build Your Skills to Develop Great Ideas into Great Companies.",4.7stars,711 ratings,"Dr. James V. Green, Dr. Thomas J. Mierzwa, Michael R. Pratt","19,289","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Venture Capital, Finance, Value Proposition, Entrepreneurship, Opportunity Identification, Management, Innovation, Market Research, Business Model, Business Modeling, Investor, Investment",Business;Business Management;Entrepreneurship;Finance;Innovation;Investment;Management,Business;Business;Art and Design;Computer Science;Data Science;Health and Fitness;Language and Communication;Math and Logic;Social Science;Personal Development
861,Russian Alphabet,Saint Petersburg State University,COURSE,4.6,203 reviews,Beginner,5.2k,https://www.coursera.org/learn/russian-alphabet,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/4aa45483ef407a94d4dc5969f62d86/oblozhki-platforma_ABC.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Kosareva Еlena,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,,Russian,Russian
862,Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.8,24 reviews,Beginner,16k,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/54/9d9ee886cd41a89e7dbf9cae8f99a0/CAS120913_315_-_Composite_9x15_sRGB.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,David Wheeler,,"Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English, Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English",English,"Script Writing, Filmmaking, Screenwriting, Film and Televison Writing, Creative Writing",Writing,Writing;Computer Science;Personal Development
863,Software Processes and Agile Practices,University of Alberta,COURSE,4.7,3928 reviews,Mixed,66k,https://www.coursera.org/learn/software-processes-and-agile-practices,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/de/9216f0664911e5bbb05be9deab71aa/processes_icon_1.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Kenny Wong,,"Shareable Certificate, 100% online, Course 2 of 6 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 6 in the, Flexible deadlines, English",English,"Lean Software Development, Agile Software Development, Software Development Process, Scrum (Software Development)",Software Development,Software Development
864,Legal Tech & Startups,IE Business School,COURSE,4.5,112 reviews,Intermediate,8.4k,https://www.coursera.org/learn/legal-tech-startups,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/4f6180cad511e7b5db3732c7232662/law-para-Market.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Marti Manent,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
865,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,4226 reviews,Mixed,340k,https://www.coursera.org/learn/happiness,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/441350c22211e4bd49df699111f70c/Wanting-to-be-happy.JPG?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Dr. Rajagopal Raghunathan,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Gratitude, Mindfulness, Happiness, Meditation",Life;Meditation,Life;Personal Development
866,Privacy Law and Data Protection,University of Pennsylvania,COURSE,4.8,331 reviews,Mixed,6.7k,https://www.coursera.org/learn/privacy-law-data-protection,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d1/c89041902c424ebcc2869ca6f8a0ad/Complying-with-Privacy-Laws-and-Protecting-Data-01.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Lauren SteinfeldTop Instructor,,"Shareable Certificate, 100% online, Course 3 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 3 of 4 in the, Flexible deadlines, English",English,"Information Privacy, Risk Management, Data Management, Privacy Compliance",Law;Management,Law;Business
867,The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.8,1309 reviews,Mixed,39k,https://www.coursera.org/learn/cats-and-dogs,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/89/18f510f43f11e6b1b2dbdf736e1812/DSC_0939_800800.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Miss Hayley  Walters, RVN, Dr Heather Bacon, Professor Nat Waran, Dr Amy Miele",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Animal, Behavior Problems Diagnosis And Treatment, Animal Behavior, Dog",,
868,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,595 reviews,Mixed,8.6k,https://www.coursera.org/learn/wharton-global-trends-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/06/222100aad711e79d97bf25c196049d/BSGlobalTrends_Coursera_Course_Thumb.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Mauro Guillen,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,"Global Financial Crisis, Trend Analysis, Economy, Trading, Strategic Management",Business;Business Analysis;Business Management;Financial Analysis;Management;Strategic Management;Trading,Business;Business;Computer Science
869,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,236 reviews,Advanced,16k,https://www.coursera.org/learn/autodesk-revit-architectural-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fa/98f3bbe39241dea8656577f6569a54/Coursera-logo-1200x1200.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Autodesk,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Autodesk, Engineering, Computer-Aided Design (CAD), Architecture, Autodesk Revit Architecture",Architecture;Autodesk;Design;Engineering;Revit ,Architecture;Computer Science;Physical Science and Engineering
870,Introduction to Game Design,California Institute of the Arts,COURSE,4.7,1779 reviews,Beginner,62k,https://www.coursera.org/learn/game-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0d/b7587097c111e582019b1785938f93/1_Fran_Intro.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Fran Krause,,"Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English",English,"Video Game Development, Gameplay, Video Game Design, Game Design",Design;Game Development,Design;Computer Science
871,Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,1872 reviews,Beginner,61k,https://www.coursera.org/learn/image-making,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/77/88b9b0a39211e59ef34380216d0be9/04.IMAGE_1200-x-1200_logo_2.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Gail Swanlund,,"Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English",English,"Adobe Indesign, Art, Creativity, Graphics",Adobe;Creativity;InDesign ,Adobe;Computer Science;Marketing;Business
872,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,2116 reviews,Mixed,41k,https://www.coursera.org/learn/recruiting-hiring-onboarding-employees,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/40/6830008d5311e58a7379988e116de4/IMG_0389-1310.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Amy Simon, Stacy Doepner-Hove",,"Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English",English,"Onboarding, Recruiting, Human Resources (HR), Recruitment",Human Resources,Human Resources
873,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,2631 reviews,Mixed,58k,https://www.coursera.org/learn/materials-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6f/fb36708fc211e59a7b49ee96ddb810/thumbnail.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,James Shackelford,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Materials, Mechanical Engineering, Engineering Design, Electrical Engineering",Design;Engineering;Science,Design;Physical Science and Engineering;Life Science
